Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	7848ba81-a5d5-4e14-bbd4-0e4443f9d316
Plate Name	251126_Scratch_48h_#2
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	Open Area - Wound Area [µm²] - Sum per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	5	1	2	3547321.16286	8	4	0	7200.0780926	Off	37	Off	5					
4	6	1	2	3266711.81602	8	4	0	7198.5470908	Off	37	Off	5					
4	7	1	2	3930462.58414	8	4	0	7198.6721006	Off	37	Off	5					
4	8	1	2	2842655.87102	8	4	0	7199.1095969	Off	37	Off	5					
4	9	1	2	3028017.2499	8	4	0	7200.1401017	Off	37	Off	5					
4	10	1	2	3235134.935	8	4	0	7200.8433485999994	Off	37	Off	5					
4	11	1	2	3025947.95032	8	4	0	7200.7188825999992	Off	37	Off	5					
5	2	1	2	3277681.68324	8	4	0	7200.4058480999993	Off	37	Off	5					
5	3	1	2	3186321.53367	8	4	0	7200.2658476999995	Off	37	Off	5					
5	4	1	2	3406032.71232	8	4	0	7200.1090872999994	Off	37	Off	5					
5	5	1	2	3299920.92157	8	4	0	7200.0773492	Off	37	Off	5					
5	6	1	2	3158931.97492	8	4	0	7198.9533487	Off	37	Off	5					
5	7	1	2	3435984.53398	8	4	0	7198.3908187	Off	37	Off	5					
5	8	1	2	3385364.0781	8	4	0	7198.8433491	Off	37	Off	5					
5	9	1	2	3331023.46869	8	4	0	7200.1563594	Off	37	Off	5					
5	10	1	2	3082306.27012	8	4	0	7200.702588	Off	37	Off	5					
5	11	1	2	3403414.56112	8	4	0	7200.5936054999993	Off	37	Off	5					
6	2	1	2	3421724.42311	8	4	0	7200.3878400999993	Off	37	Off	5					
6	3	1	2	3253417.56936	8	4	0	7200.2028537	Off	37	Off	5					
6	4	1	2	3249158.59543	8	4	0	7200.1090859999995	Off	37	Off	5					
6	5	1	2	2811941.67584	8	4	0	7200.1403439	Off	37	Off	5					
6	6	1	2	3268930.15102	8	4	0	7198.8905962	Off	37	Off	5					
6	7	1	2	3028852.70811	8	4	0	7198.5003438999993	Off	37	Off	5					
6	8	1	2	3344763.3886	8	4	0	7198.62511	Off	37	Off	5					
6	9	1	2	3179872.8854	8	4	0	7200.1873467999994	Off	37	Off	5					
6	10	1	2	3423108.73293	8	4	0	7200.7335987	Off	37	Off	5					
6	11	1	2	3789304.5396	8	4	0	7200.702848	Off	37	Off	5					
7	2	1	2	4003861.09873	8	4	0	7200.4661106999993	Off	37	Off	5					
7	3	1	2	3727047.85618	8	4	0	7200.1068439	Off	37	Off	5					
7	4	1	2	3384064.31722	8	4	0	7200.1248577999995	Off	37	Off	5					
7	5	1	2	3030219.82154	8	4	0	7200.1406014999993	Off	37	Off	5					
7	6	1	2	3204839.18543	8	4	0	7200.1248417	Off	37	Off	5					
7	7	1	2	3326257.2011	8	4	0	7198.5158463	Off	37	Off	5					
7	8	1	2	3199532.66442	8	4	0	7198.6095989	Off	37	Off	5					
7	9	1	2	2988017.0012	8	4	0	7200.2966012	Off	37	Off	5					
7	10	1	2	3457663.45643	8	4	0	7200.2808556	Off	37	Off	5					
7	11	1	2	3576514.91009	8	4	0	7200.7028436	Off	37	Off	5					
2	2	1	3	2958850.4816	8	4	0	14400.4186963	Off	37	Off	5					
2	3	1	3	2766884.25386	8	4	0	14400.5179037	Off	37	Off	5					
2	4	1	3	3051839.98964	8	4	0	14400.3901966	Off	37	Off	5					
2	5	1	3	4717203.40507	8	4	0	14400.421441699998	Off	37	Off	5					
2	6	1	3	2640629.75199	8	4	0	14398.4841881	Off	37	Off	5					
2	7	1	3	4868220.7163	8	4	0	14398.3411949	Off	37	Off	5					
2	8	1	3	2432220.9042	8	4	0	14398.0469516	Off	37	Off	5					
2	9	1	3	2955564.53705	8	4	0	14397.9376977	Off	37	Off	5					
2	10	1	3	2845183.74115	8	4	0	14397.672189699999	Off	37	Off	5					
2	11	1	3	3172571.58252	8	4	0	14397.4691921	Off	37	Off	5					
3	2	1	3	3186781.53724	8	4	0	14400.4189465	Off	37	Off	5					
3	3	1	3	2879587.99618	8	4	0	14400.3719338	Off	37	Off	5					
3	4	1	3	2755636.37825	8	4	0	14400.3094482	Off	37	Off	5					
3	5	1	3	3674851.06405	8	4	0	14400.3744668	Off	37	Off	5					
3	6	1	3	2905203.46013	8	4	0	14398.4529374	Off	37	Off	5					
3	7	1	3	4738972.60859	8	4	0	14398.281424899998	Off	37	Off	5					
3	8	1	3	2726759.3313	8	4	0	14398.1406735	Off	37	Off	5					
3	9	1	3	3019391.82458	8	4	0	14397.9221937	Off	37	Off	5					
3	10	1	3	2839629.30544	8	4	0	14397.7344357	Off	37	Off	5					
3	11	1	3	2898534.12479	8	4	0	14397.533944699999	Off	37	Off	5					
4	2	1	3	2793914.12134	8	4	0	14400.2961865	Off	37	Off	5					
4	3	1	3	3024681.14919	8	4	0	14400.4219483	Off	37	Off	5					
4	4	1	3	2852788.847	8	4	0	14400.372184099999	Off	37	Off	5					
4	5	1	3	3360774.66574	8	4	0	14400.124692	Off	37	Off	5					
4	6	1	3	3105885.39426	8	4	0	14398.5156902	Off	37	Off	5					
4	7	1	3	4475945.143	8	4	0	14398.4064473	Off	37	Off	5					
4	8	1	3	2667678.2489	8	4	0	14398.1409474	Off	37	Off	5					
4	9	1	3	2840722.70958	8	4	0	14397.3126941	Off	37	Off	5					
4	10	1	3	3071677.46474	8	4	0	14397.8281918	Off	37	Off	5					
4	11	1	3	2869250.09648	8	4	0	14397.7837382	Off	37	Off	5					
5	2	1	3	3162399.91466	8	4	0	14400.3771943	Off	37	Off	5					
5	3	1	3	3064090.98831	8	4	0	14400.358943399999	Off	37	Off	5					
5	4	1	3	3208866.00801	8	4	0	14400.3434358	Off	37	Off	5					
5	5	1	3	3192644.07504	8	4	0	14400.0776711	Off	37	Off	5					
5	6	1	3	3132082.66959	8	4	0	14398.9061879	Off	37	Off	5					
5	7	1	3	3347291.25872	8	4	0	14398.031419199999	Off	37	Off	5					
5	8	1	3	3221207.28777	8	4	0	14398.124704799999	Off	37	Off	5					
5	9	1	3	3202272.62342	8	4	0	14397.328695999999	Off	37	Off	5					
5	10	1	3	3005745.05181	8	4	0	14397.8126861	Off	37	Off	5					
5	11	1	3	3322544.21273	8	4	0	14397.971459299999	Off	37	Off	5					
6	2	1	3	3359179.70006	8	4	0	14400.2936978	Off	37	Off	5					
6	3	1	3	3105663.27415	8	4	0	14400.3901978	Off	37	Off	5					
6	4	1	3	3114194.1193	8	4	0	14400.296435999999	Off	37	Off	5					
6	5	1	3	2698792.26028	8	4	0	14400.0464412	Off	37	Off	5					
6	6	1	3	3176730.24414	8	4	0	14398.8904573	Off	37	Off	5					
6	7	1	3	2976418.03252	8	4	0	14398.0314439	Off	37	Off	5					
6	8	1	3	3181308.78441	8	4	0	14398.156456499999	Off	37	Off	5					
6	9	1	3	3035234.00383	8	4	0	14397.8596968	Off	37	Off	5					
6	10	1	3	3333804.98564	8	4	0	14397.8904513	Off	37	Off	5					
6	11	1	3	3880134.46698	8	4	0	14398.2836909	Off	37	Off	5					
7	2	1	3	3987154.80062	8	4	0	14400.465951	Off	37	Off	5					
7	3	1	3	3633744.51392	8	4	0	14400.327942299999	Off	37	Off	5					
7	4	1	3	3212732.33091	8	4	0	14400.312198599999	Off	37	Off	5					
7	5	1	3	2867956.06773	8	4	0	14400.0779473	Off	37	Off	5					
7	6	1	3	3103313.10012	8	4	0	14400.108912099999	Off	37	Off	5					
7	7	1	3	3310459.44588	8	4	0	14397.9844492	Off	37	Off	5					
7	8	1	3	3104822.08381	8	4	0	14398.0939471	Off	37	Off	5					
7	9	1	3	2875648.5886	8	4	0	14397.875197	Off	37	Off	5					
7	10	1	3	3403556.43138	8	4	0	14397.9391917	Off	37	Off	5					
7	11	1	3	3560634.03895	8	4	0	14398.5936707	Off	37	Off	5					
2	2	1	4	2814374.96578	8	4	0	21600.5748129	Off	37	Off	5					
2	3	1	4	2577388.57493	8	4	0	21600.5180256	Off	37	Off	5					
2	4	1	4	2932438.25132	8	4	0	21599.7337637	Off	37	Off	5					
2	5	1	4	4163628.50914	8	4	0	21599.7650403	Off	37	Off	5					
2	6	1	4	2480152.99027	8	4	0	21597.890539199998	Off	37	Off	5					
2	7	1	4	4754905.06891	8	4	0	21597.7630195	Off	37	Off	5					
2	8	1	4	2287189.37161	8	4	0	21598.2030495	Off	37	Off	5					
2	9	1	4	2812188.1575	8	4	0	21598.062550299997	Off	37	Off	5					
2	10	1	4	2749190.59605	8	4	0	21597.3595116	Off	37	Off	5					
2	11	1	4	3077581.56049	8	4	0	21597.1877944	Off	37	Off	5					
3	2	1	4	3006368.42114	8	4	0	21600.575058399998	Off	37	Off	5					
3	3	1	4	2712504.95256	8	4	0	21600.325039699997	Off	37	Off	5					
3	4	1	4	2576237.84948	8	4	0	21599.7937909	Off	37	Off	5					
3	5	1	4	3380262.4808	8	4	0	21599.8123213	Off	37	Off	5					
3	6	1	4	2707892.0195	8	4	0	21597.8902665	Off	37	Off	5					
3	7	1	4	4658565.12984	8	4	0	21597.734517099998	Off	37	Off	5					
3	8	1	4	2560375.60777	8	4	0	21598.2658057	Off	37	Off	5					
3	9	1	4	2854747.80304	8	4	0	21598.0625488	Off	37	Off	5					
3	10	1	4	2698813.75577	8	4	0	21597.4690317	Off	37	Off	5					
3	11	1	4	2797766.11391	8	4	0	21597.1248104	Off	37	Off	5					
4	2	1	4	2532451.52773	8	4	0	21600.686533199998	Off	37	Off	5					
4	3	1	4	2874661.2289	8	4	0	21600.3587948	Off	37	Off	5					
4	4	1	4	2716299.62381	8	4	0	21599.9035167	Off	37	Off	5					
4	5	1	4	3184510.18002	8	4	0	21599.581037599997	Off	37	Off	5					
4	6	1	4	2930596.80398	8	4	0	21597.9530369	Off	37	Off	5					
4	7	1	4	4385006.30511	8	4	0	21597.7657912	Off	37	Off	5					
4	8	1	4	2506113.81517	8	4	0	21598.203295699997	Off	37	Off	5					
4	9	1	4	2628950.53346	8	4	0	21597.5000378	Off	37	Off	5					
4	10	1	4	2869771.72048	8	4	0	21597.547297999998	Off	37	Off	5					
4	11	1	4	2693862.62693	8	4	0	21597.2500744	Off	37	Off	5					
5	2	1	4	3026995.4974	8	4	0	21600.3587907	Off	37	Off	5					
5	3	1	4	2986816.11959	8	4	0	21600.2652935	Off	37	Off	5					
5	4	1	4	3064873.4243	8	4	0	21600.0307817	Off	37	Off	5					
5	5	1	4	3047139.64156	8	4	0	21599.546038	Off	37	Off	5					
5	6	1	4	3095695.09696	8	4	0	21598.406013699998	Off	37	Off	5					
5	7	1	4	3299178.6105	8	4	0	21597.3907664	Off	37	Off	5					
5	8	1	4	3123303.90975	8	4	0	21598.0775458	Off	37	Off	5					
5	9	1	4	3054561.3192	8	4	0	21597.453797	Off	37	Off	5					
5	10	1	4	2862824.37674	8	4	0	21597.4845378	Off	37	Off	5					
5	11	1	4	3168296.84524	8	4	0	21597.375311699998	Off	37	Off	5					
6	2	1	4	3298320.22377	8	4	0	21600.3872892	Off	37	Off	5					
6	3	1	4	2950250.85087	8	4	0	21600.1402933	Off	37	Off	5					
6	4	1	4	3013588.04114	8	4	0	21600.0307913	Off	37	Off	5					
6	5	1	4	2557099.69445	8	4	0	21599.484033	Off	37	Off	5					
6	6	1	4	3145607.63456	8	4	0	21598.3280509	Off	37	Off	5					
6	7	1	4	2972047.28202	8	4	0	21597.3907882	Off	37	Off	5					
6	8	1	4	3009619.9729	8	4	0	21598.078548499998	Off	37	Off	5					
6	9	1	4	2888276.47494	8	4	0	21597.5155615	Off	37	Off	5					
6	10	1	4	3170966.58562	8	4	0	21597.5152918	Off	37	Off	5					
6	11	1	4	3649887.63009	8	4	0	21597.5312847	Off	37	Off	5					
7	2	1	4	3909739.49467	8	4	0	21600.465802	Off	37	Off	5					
7	3	1	4	3571472.06714	8	4	0	21600.124533899998	Off	37	Off	5					
7	4	1	4	3114512.25261	8	4	0	21600.0777916	Off	37	Off	5					
7	5	1	4	2736300.46467	8	4	0	21599.486543799998	Off	37	Off	5					
7	6	1	4	3071640.20589	8	4	0	21599.5152839	Off	37	Off	5					
7	7	1	4	3285925.92179	8	4	0	21597.453044399997	Off	37	Off	5					
7	8	1	4	3014177.01768	8	4	0	21597.4532701	Off	37	Off	5					
7	9	1	4	2713465.08464	8	4	0	21597.547036599997	Off	37	Off	5					
7	10	1	4	3255377.95843	8	4	0	21597.562512099998	Off	37	Off	5					
7	11	1	4	3424756.72083	8	4	0	21597.7657658	Off	37	Off	5					
2	2	1	5	2706294.18776	8	4	0	28800.1371377	Off	37	Off	5					
2	3	1	5	2401457.9859	8	4	0	28800.0646222	Off	37	Off	5					
2	4	1	5	2843282.10642	8	4	0	28800.311888	Off	37	Off	5					
2	5	1	5	3722025.07569	8	4	0	28800.296138399997	Off	37	Off	5					
2	6	1	5	2354669.46012	8	4	0	28798.280883	Off	37	Off	5					
2	7	1	5	4559407.848	8	4	0	28798.090893599998	Off	37	Off	5					
2	8	1	5	2087542.08727	8	4	0	28797.999639999998	Off	37	Off	5					
2	9	1	5	2623348.80766	8	4	0	28797.9061172	Off	37	Off	5					
2	10	1	5	2652675.82696	8	4	0	28798.171629599998	Off	37	Off	5					
2	11	1	5	2945561.96707	8	4	0	28797.9998886	Off	37	Off	5					
3	2	1	5	2817086.26412	8	4	0	28800.168636299997	Off	37	Off	5					
3	3	1	5	2587255.00679	8	4	0	28800.5123798	Off	37	Off	5					
3	4	1	5	2410599.30308	8	4	0	28800.3403888	Off	37	Off	5					
3	5	1	5	3037670.15984	8	4	0	28800.1869184	Off	37	Off	5					
3	6	1	5	2583921.77215	8	4	0	28798.2808811	Off	37	Off	5					
3	7	1	5	4445924.53576	8	4	0	28798.062367	Off	37	Off	5					
3	8	1	5	2434913.57312	8	4	0	28798.0623684	Off	37	Off	5					
3	9	1	5	2663304.63234	8	4	0	28798.047132199998	Off	37	Off	5					
3	10	1	5	2535501.02185	8	4	0	28798.2653783	Off	37	Off	5					
3	11	1	5	2636168.72042	8	4	0	28797.906136999998	Off	37	Off	5					
4	2	1	5	2316302.86899	8	4	0	28800.295877599998	Off	37	Off	5					
4	3	1	5	2792910.99828	8	4	0	28800.514893	Off	37	Off	5					
4	4	1	5	2600428.87868	8	4	0	28800.4043932	Off	37	Off	5					
4	5	1	5	2920822.08624	8	4	0	28799.921386899998	Off	37	Off	5					
4	6	1	5	2777732.31329	8	4	0	28798.2966346	Off	37	Off	5					
4	7	1	5	4182411.272	8	4	0	28798.0623916	Off	37	Off	5					
4	8	1	5	2397585.93087	8	4	0	28797.9998909	Off	37	Off	5					
4	9	1	5	2487836.91294	8	4	0	28797.9686454	Off	37	Off	5					
4	10	1	5	2748270.58889	8	4	0	28798.265392899997	Off	37	Off	5					
4	11	1	5	2575843.76542	8	4	0	28797.9221749	Off	37	Off	5					
5	2	1	5	2909486.79562	8	4	0	28800.2806332	Off	37	Off	5					
5	3	1	5	2918205.36808	8	4	0	28800.5306294	Off	37	Off	5					
5	4	1	5	2931131.32527	8	4	0	28800.405640999998	Off	37	Off	5					
5	5	1	5	2891378.99128	8	4	0	28799.95189	Off	37	Off	5					
5	6	1	5	2999749.24195	8	4	0	28798.765131099997	Off	37	Off	5					
5	7	1	5	3207511.79188	8	4	0	28797.7968625	Off	37	Off	5					
5	8	1	5	3012920.24778	8	4	0	28797.9681398	Off	37	Off	5					
5	9	1	5	2960277.78241	8	4	0	28798.0156377	Off	37	Off	5					
5	10	1	5	2761311.18873	8	4	0	28798.1561344	Off	37	Off	5					
5	11	1	5	3061634.76984	8	4	0	28798.187899499997	Off	37	Off	5					
6	2	1	5	3160938.22105	8	4	0	28800.3091432	Off	37	Off	5					
6	3	1	5	2855791.05103	8	4	0	28800.4211371	Off	37	Off	5					
6	4	1	5	2882693.37858	8	4	0	28800.436632099998	Off	37	Off	5					
6	5	1	5	2464488.50711	8	4	0	28799.8901304	Off	37	Off	5					
6	6	1	5	3024215.41348	8	4	0	28798.780887499997	Off	37	Off	5					
6	7	1	5	2865345.0817	8	4	0	28797.796885	Off	37	Off	5					
6	8	1	5	2823183.81932	8	4	0	28797.9841393	Off	37	Off	5					
6	9	1	5	2795850.14886	8	4	0	28798.1093874	Off	37	Off	5					
6	10	1	5	3045235.14077	8	4	0	28798.1556187	Off	37	Off	5					
6	11	1	5	3460508.02683	8	4	0	28799.0621373	Off	37	Off	5					
7	2	1	5	3794469.19034	8	4	0	28800.4656488	Off	37	Off	5					
7	3	1	5	3419894.44003	8	4	0	28800.4526319	Off	37	Off	5					
7	4	1	5	2992786.13485	8	4	0	28800.4211434	Off	37	Off	5					
7	5	1	5	2620081.49254	8	4	0	28799.921395399997	Off	37	Off	5					
7	6	1	5	2976608.6259	8	4	0	28800.0006354	Off	37	Off	5					
7	7	1	5	3220636.94066	8	4	0	28797.999641299997	Off	37	Off	5					
7	8	1	5	2930562.41119	8	4	0	28798.0311492	Off	37	Off	5					
7	9	1	5	2593333.93255	8	4	0	28798.187389799998	Off	37	Off	5					
7	10	1	5	3208844.51252	8	4	0	28798.1873824	Off	37	Off	5					
7	11	1	5	3290444.27468	8	4	0	28799.296383999997	Off	37	Off	5					
2	2	1	6	2575591.55162	8	4	0	36003.7300097	Off	37	Off	5					
2	3	1	6	2266040.67135	8	4	0	36004.2797213	Off	37	Off	5					
2	4	1	6	2761109.13108	8	4	0	36004.6387361	Off	37	Off	5					
2	5	1	6	3514811.37738	8	4	0	36004.716739899995	Off	37	Off	5					
2	6	1	6	2247928.56791	8	4	0	36003.341981699996	Off	37	Off	5					
2	7	1	6	4299075.91738	8	4	0	36003.2457151	Off	37	Off	5					
2	8	1	6	1878720.52599	8	4	0	36003.5452169	Off	37	Off	5					
2	9	1	6	2515103.23086	8	4	0	36003.498234	Off	37	Off	5					
2	10	1	6	2519760.58794	8	4	0	36003.1544904	Off	37	Off	5					
2	11	1	6	2855204.94056	8	4	0	36003.0454856	Off	37	Off	5					
3	2	1	6	2631416.78316	8	4	0	36003.1367368	Off	37	Off	5					
3	3	1	6	2443765.41764	8	4	0	36004.2457277	Off	37	Off	5					
3	4	1	6	2268203.11807	8	4	0	36004.6999904	Off	37	Off	5					
3	5	1	6	2973870.09993	8	4	0	36004.7012609	Off	37	Off	5					
3	6	1	6	2443169.27593	8	4	0	36003.342481499996	Off	37	Off	5					
3	7	1	6	4164279.1061	8	4	0	36003.2954687	Off	37	Off	5					
3	8	1	6	2312642.90284	8	4	0	36003.5452391	Off	37	Off	5					
3	9	1	6	2494126.49455	8	4	0	36003.5297385	Off	37	Off	5					
3	10	1	6	2366784.32067	8	4	0	36003.170475399995	Off	37	Off	5					
3	11	1	6	2495192.67107	8	4	0	36003.060988	Off	37	Off	5					
4	2	1	6	2056600.03984	8	4	0	36002.4684874	Off	37	Off	5					
4	3	1	6	2702652.85104	8	4	0	36004.2507434	Off	37	Off	5					
4	4	1	6	2525565.80441	8	4	0	36004.7314946	Off	37	Off	5					
4	5	1	6	2733987.5495	8	4	0	36004.6387323	Off	37	Off	5					
4	6	1	6	2660441.43251	8	4	0	36003.3889935	Off	37	Off	5					
4	7	1	6	3914970.06493	8	4	0	36003.3267508	Off	37	Off	5					
4	8	1	6	2267678.62801	8	4	0	36003.5297422	Off	37	Off	5					
4	9	1	6	2344497.79225	8	4	0	36002.920489	Off	37	Off	5					
4	10	1	6	2613422.18843	8	4	0	36003.1859863	Off	37	Off	5					
4	11	1	6	2461910.48083	8	4	0	36003.529527599996	Off	37	Off	5					
5	2	1	6	2775251.73325	8	4	0	36001.8109799	Off	37	Off	5					
5	3	1	6	2808863.52106	8	4	0	36004.280987599996	Off	37	Off	5					
5	4	1	6	2806190.91461	8	4	0	36004.7024807	Off	37	Off	5					
5	5	1	6	2777425.64423	8	4	0	36004.6694859	Off	37	Off	5					
5	6	1	6	2941245.67182	8	4	0	36003.7639852	Off	37	Off	5					
5	7	1	6	3131201.35433	8	4	0	36003.0139616	Off	37	Off	5					
5	8	1	6	2915815.06912	8	4	0	36003.5292386	Off	37	Off	5					
5	9	1	6	2845408.72732	8	4	0	36002.954269199996	Off	37	Off	5					
5	10	1	6	2678873.10229	8	4	0	36003.029727299996	Off	37	Off	5					
5	11	1	6	2998010.97299	8	4	0	36003.3889957	Off	37	Off	5					
6	2	1	6	3042777.48927	8	4	0	36001.1837402	Off	37	Off	5					
6	3	1	6	2688227.94138	8	4	0	36004.2822366	Off	37	Off	5					
6	4	1	6	2768186.88082	8	4	0	36004.6869827	Off	37	Off	5					
6	5	1	6	2289966.58946	8	4	0	36004.7504787	Off	37	Off	5					
6	6	1	6	2944743.70525	8	4	0	36003.7014957	Off	37	Off	5					
6	7	1	6	2768599.5943	8	4	0	36002.9987383	Off	37	Off	5					
6	8	1	6	2662265.68345	8	4	0	36003.0142391	Off	37	Off	5					
6	9	1	6	2689338.54192	8	4	0	36002.9517489	Off	37	Off	5					
6	10	1	6	2946891.82164	8	4	0	36003.076250499995	Off	37	Off	5					
6	11	1	6	3443320.22964	8	4	0	36003.342231999995	Off	37	Off	5					
7	2	1	6	3693638.12601	8	4	0	36000.7960085	Off	37	Off	5					
7	3	1	6	3325509.1579	8	4	0	36004.2794841	Off	37	Off	5					
