Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	4338fd89-4afd-41e6-b172-9189337d3477
Plate Name	251121_Scratch_48h_Gamme_prot
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	wound - Region Area [µm²] - Sum per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
3	1	1	2	4009787.05043	8	4	0	7199.9423391	Off	37	Off	5					
3	2	1	2	3719152.31264	8	4	0	7197.5520705	Off	37	Off	5					
3	3	1	2	3806627.72759	8	4	0	7197.4425962999994	Off	37	Off	5					
3	4	1	2	4503811.79972	8	4	0	7197.5841024	Off	37	Off	5					
3	5	1	2	4165880.1582	8	4	0	7197.3806018	Off	37	Off	5					
3	6	1	2	3330141.04675	8	4	0	7197.0680766	Off	37	Off	5					
3	7	1	2	4319755.21614	8	4	0	7197.5523484999994	Off	37	Off	5					
3	8	1	2	2696793.25123	7	4	0	7198.1768431	Off	37	Off	5					
3	9	1	2	3889434.92138	8	4	0	7200.4108391	Off	37	Off	5					
4	1	1	2	5173178.54661	8	4	0	7199.7235974999994	Off	37	Off	5					
4	2	1	2	4988719.33254	8	4	0	7197.5990976999992	Off	37	Off	5					
4	3	1	2	4534049.20646	8	4	0	7197.3178432999994	Off	37	Off	5					
4	4	1	2	3856222.92067	8	4	0	7197.5523475	Off	37	Off	5					
4	5	1	2	4012379.07379	8	4	0	7197.3175998	Off	37	Off	5					
4	6	1	2	4116677.56567	8	4	0	7197.0988339999994	Off	37	Off	5					
4	7	1	2	4056111.04987	8	4	0	7197.5835975	Off	37	Off	5					
4	8	1	2	3472682.27124	8	4	0	7198.3006166	Off	37	Off	5					
4	9	1	2	3321330.45992	8	4	0	7200.5673336	Off	37	Off	5					
5	1	1	2	3936516.89779	8	4	0	7199.551844	Off	37	Off	5					
5	2	1	2	3623621.42213	8	4	0	7198.0365947	Off	37	Off	5					
5	3	1	2	3605666.3947	8	4	0	7197.2708468	Off	37	Off	5					
5	4	1	2	4191449.34379	8	4	0	7197.6303628999995	Off	37	Off	5					
5	5	1	2	3791377.91856	8	4	0	7197.3028508	Off	37	Off	5					
5	6	1	2	3981389.42146	8	4	0	7197.1616024999994	Off	37	Off	5					
5	7	1	2	5233980.04961	8	4	0	7197.5208385999995	Off	37	Off	5					
5	8	1	2	3169606.10792	8	4	0	7197.7243436	Off	37	Off	5					
6	1	1	2	3650947.28025	8	4	0	7199.7703395	Off	37	Off	5					
6	2	1	2	3478071.21531	8	4	0	7200.0200936	Off	37	Off	5					
6	3	1	2	3583116.22139	8	4	0	7197.3025987	Off	37	Off	5					
6	4	1	2	4338703.20774	8	4	0	7197.5678466	Off	37	Off	5					
6	5	1	2	4326138.55723	8	4	0	7197.3798461999995	Off	37	Off	5					
6	6	1	2	3944721.38962	8	4	0	7197.1463285	Off	37	Off	5					
6	7	1	2	5707539.42049	8	4	0	7197.584846	Off	37	Off	5					
6	8	1	2	3301102.9344	8	4	0	7197.724074	Off	37	Off	5					
7	1	1	2	3498593.90767	8	4	0	7200.0830879	Off	37	Off	5					
7	2	1	2	3727030.11495	8	4	0	7200.0203547	Off	37	Off	5					
7	3	1	2	3564055.03473	8	4	0	7197.3330865	Off	37	Off	5					
7	4	1	2	4503297.40703	8	4	0	7197.2553473	Off	37	Off	5					
7	5	1	2	3708610.84453	8	4	0	7197.4586101999994	Off	37	Off	5					
7	6	1	2	4085679.31625	8	4	0	7197.1931059	Off	37	Off	5					
7	7	1	2	5055621.90543	8	4	0	7197.5988489	Off	37	Off	5					
7	8	1	2	3594239.42608	8	4	0	7197.7088411999994	Off	37	Off	5					
8	1	1	2	3706331.1822	8	4	0	7200.3016245	Off	37	Off	5					
8	2	1	2	3440390.15942	8	4	0	7200.1625918	Off	37	Off	5					
8	3	1	2	3726211.95833	8	4	0	7197.2880955	Off	37	Off	5					
8	4	1	2	4161733.49398	8	4	0	7197.4098509999994	Off	37	Off	5					
8	5	1	2	3934201.41424	8	4	0	7197.4598609999994	Off	37	Off	5					
8	6	1	2	3922195.57474	8	4	0	7197.2398518	Off	37	Off	5					
1	1	1	3	3709357.35872	8	4	0	14400.493695699999	Off	37	Off	5					
1	2	1	3	3671773.73654	8	4	0	14402.5871852	Off	37	Off	5					
1	3	1	3	3520833.1528	8	4	0	14402.509167499999	Off	37	Off	5					
1	4	1	3	3872805.27902	8	4	0	14402.1334658	Off	37	Off	5					
1	5	1	3	3988705.54707	8	4	0	14402.071448199998	Off	37	Off	5					
1	6	1	3	3679770.4653	8	4	0	14402.8526322	Off	37	Off	5					
1	7	1	3	3832122.40504	8	4	0	14402.6651831	Off	37	Off	5					
1	8	1	3	4015630.20755	8	4	0	14405.7891781	Off	37	Off	5					
1	9	1	3	3272925.96413	8	4	0	14405.6486575	Off	37	Off	5					
2	1	1	3	3662405.77154	8	4	0	14400.853181999999	Off	37	Off	5					
